Task Name,Task Description,Assignee,Priority,Status,Tags,Phase
Task 1.1: Cào dữ liệu Live Rank VN & KR,"Chạy script crawl_riot_matches.py tích lũy 1000-3000 trận rank VN2 và KR vào SQLite. Chuẩn hóa 1NF & 3NF.",Thành viên 1,High,to do,Data Pipeline;Riot API,Giai đoạn 1 (Tuần 1-2)
Task 1.2: Nạp dữ liệu Esports 2026 vào SQLite,"Trích xuất file 2026_LoL_esports_match_data_from_OraclesElixir.csv vào bảng tournament_matches và tournament_players.",Thành viên 1,High,to do,Database;SQLite,Giai đoạn 1 (Tuần 1-2)
Task 1.3: Làm sạch dữ liệu & Xử lý ngoại lai,"Lọc bỏ 100% trận Remake (<10 phút) và AFK (CS < 10). Xử lý ngoại lai bằng thuật toán IQR và Z-Score (Chương 2).",Thành viên 1,Normal,to do,Data Cleaning;Outlier,Giai đoạn 1 (Tuần 1-2)
Task 1.4: Viết 5 câu truy vấn SQL nâng cao,"Viết 5 truy vấn SQL (JOIN, GROUP BY, HAVING, Subquery, Pivot Table) phân tích kèo đấu 1v1, cặp bot lane synergy, presence giải đấu (Chương 5).",Thành viên 1;Thành viên 2,High,to do,SQL;Analysis,Giai đoạn 1 (Tuần 1-2)
Milestone 1: Nghiệm thu CSDL SQLite chuẩn 1NF/3NF,"Họp nhóm nghiệm thu CSDL SQLite lol_live_data.db và xuất 2 file CSV sạch phục vụ huấn luyện.",Cả nhóm,Urgent,to do,Milestone,Giai đoạn 1 (Tuần 1-2)
Task 2.1: Kiểm định A/B Lợi thế Phe Xanh (Blue Side),"Thực hiện Z-test tỷ lệ 2 phía (alpha = 0.05) chứng minh lợi thế thắng của phe Xanh có ý nghĩa thống kê hay không (Chương 1).",Thành viên 2,Normal,to do,Statistics;Hypothesis,Giai đoạn 2 (Tuần 2-3)
Task 2.2: Kiểm định t-test Lăn Cầu Tuyết (Snowball Lead),"Two-sample t-test so sánh hiệu quả chuyển hóa chênh lệch 2000 vàng lúc 10 phút giữa Đấu Giải và Solo Rank.",Thành viên 2,High,to do,Statistics;Snowball,Giai đoạn 2 (Tuần 2-3)
Task 2.3: Kiểm định Chi-square Mục tiêu lớn,"Kiểm định Chi-square so sánh winrate giữa đội ăn 3 Sâu Hư Không đầu vs đội ăn Rồng Nguyên Tố đầu.",Thành viên 2,Normal,to do,Statistics;ChiSquare,Giai đoạn 2 (Tuần 2-3)
Task 2.4: Trực quan hóa bộ biểu đồ EDA (Chương 3),"Vẽ 5 biểu đồ chất lượng cao 300 DPI: Subplot meta tướng, Heatmap khắc chế 1v1, Radar chart đội hình, Boxplot sát thương, Histogram gold diff.",Thành viên 2,High,to do,Visualization;EDA,Giai đoạn 2 (Tuần 2-3)
Milestone 2: Nghiệm thu Báo cáo Thống kê & Biểu đồ EDA,"Lưu toàn bộ biểu đồ PNG 300 DPI vào reports/figures/ và hoàn thành Notebook phân tích thống kê.",Cả nhóm,Urgent,to do,Milestone,Giai đoạn 2 (Tuần 2-3)
Task 3.1: Mô hình Draft Prediction (Phút 0),"Huấn luyện mô hình dự đoán tỉ lệ thắng lúc cấm chọn (Logistic Regression, LightGBM/XGBoost). Áp dụng Sliding Window & Sample Weighting.",Thành viên 3,High,to do,Machine Learning;Draft,Giai đoạn 3 (Tuần 3-4)
Task 3.2: Mô hình In-Game Snowball Prediction (Phút 10),"Huấn luyện mô hình dự đoán phút thứ 10 dựa trên kinh tế và mục tiêu (Random Forest, Gradient Boosting). Mục tiêu Accuracy > 80%.",Thành viên 3,High,to do,Machine Learning;Snowball,Giai đoạn 3 (Tuần 3-4)
Task 3.3: Đánh giá & So sánh mô hình AI,"Vẽ ROC Curve, tính AUC, Confusion Matrix, phân tích Feature Importance tìm yếu tố quyết định trận đấu.",Thành viên 3,Normal,to do,Evaluation;Metrics,Giai đoạn 3 (Tuần 3-4)
Task 3.4: Phân cụm K-Means Chiến thuật Đội hình,"Áp dụng K-Means phân loại đội hình thành 4 trường phái: Poke, Dive, Teamfight, Split-push.",Thành viên 3,Low,to do,Clustering;KMeans,Giai đoạn 3 (Tuần 3-4)
Task 3.5: Thuật toán Gợi ý Cấm/Chọn (Recommender),"Xây dựng công cụ gợi ý Counter-pick trực tiếp theo đường và Synergy-pick bằng luật kết hợp Apriori (Chương 6).",Thành viên 3;Thành viên 1,High,to do,Recommender;AI,Giai đoạn 3 (Tuần 3-4)
Milestone 3: Đóng gói mô hình Machine Learning (.pkl),"Lưu trữ các mô hình thành công vào draft_model.pkl, snowball_model.pkl và recommender.pkl.",Cả nhóm,Urgent,to do,Milestone,Giai đoạn 3 (Tuần 3-4)
Task 4.1: Xây dựng Backend REST API bằng FastAPI,"Viết API FastAPI (POST /predict, GET /champions, POST /recommend, GET /analytics). Mở Swagger UI tại localhost:8000/docs.",Thành viên 1,High,to do,Backend;FastAPI,Giai đoạn 4 (Tuần 4)
Task 4.2: Xây dựng Giao diện Web App tương tác,"Dựng giao diện Web Dashboard (HTML/CSS/JS hoặc Streamlit) có 3 tab: Tra cứu CSDL, Dự đoán Winrate Live, Gợi ý Ban/Pick.",Thành viên 1;Thành viên 3,High,to do,Frontend;Web App,Giai đoạn 4 (Tuần 4)
Milestone 4: Tổng duyệt Web App & Backend API,"Chạy thử nghiệm toàn bộ luồng Web App gọi API dự đoán thành công trên máy chiếu giảng đường.",Cả nhóm,Urgent,to do,Milestone,Giai đoạn 4 (Tuần 4)
Task 5.1: Xây dựng Mobile App Android (Giai đoạn 2),"Làm ứng dụng Android Studio (RecyclerView 173 tướng, Retrofit gọi Backend API, SQLite lưu lịch sử offline) khi đủ bài giảng.",Thành viên 1,Normal,to do,Mobile;Android,Giai đoạn 5 (Tuần 5)
Task 5.2: Soạn thảo Báo cáo tổng kết Word/PDF,"Tổng hợp toàn bộ nội dung từ Chương 1 đến Chương 6 thành báo cáo Word chính thức gửi giảng viên.",Cả nhóm,High,to do,Report;Documentation,Giai đoạn 5 (Tuần 5)
Task 5.3: Thiết kế Slide PowerPoint bảo vệ đồ án,"Thiết kế bộ slide 20-25 trang súc tích, hình ảnh biểu đồ sắc nét phục vụ thuyết trình trước hội đồng.",Cả nhóm,Normal,to do,Presentation;Slide,Giai đoạn 5 (Tuần 5)
Task 5.4: Tổng duyệt Demo trực tiếp & Bảo vệ,"Kịch bản demo live Web App và Mobile App kết nối chung vào Backend AI. Bảo vệ thành công đồ án!",Cả nhóm,Urgent,to do,Defense;Final,Giai đoạn 5 (Tuần 5)
