gameId,gameVersion,gameDuration,blueWins,blueTotalGold,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueKills,blueDeaths,blueDragons,blueHeralds,blueVoidgrubs,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff,redTotalGold,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redKills,redDeaths,redDragons,redHeralds,redVoidgrubs,redTowersDestroyed,redGoldDiff,redExperienceDiff,crawled_at,blueBans,redBans,blueTop,blueJungle,blueMid,blueAdc,blueSupport,redTop,redJungle,redMid,redAdc,redSupport,server
VN2_1583284272,16.18.817.5716,1878,1,21677,20868,229,86,15,9,1,0,1,0,2477,2033,19200,18835,226,52,9,15,0,0,0,0,-2477,-2033,2026-09-19 16:21:14,"Mel, Zoe, Nautilus","Viktor, Yuumi, Nilah",Akali,JarvanIV,Katarina,Jinx,Pyke,Jax,LeeSin,Lissandra,Caitlyn,Lux,VN2
VN2_1584811050,16.18.817.5716,1632,1,20609,23153,271,98,9,5,0,0,3,0,2634,3364,17975,19789,287,60,5,9,0,0,0,0,-2634,-3364,2026-09-19 16:21:19,"Twisted Fate, Kindred, Xerath, Aatrox, Nautilus","Heimerdinger, Shaco, Ezreal, Zoe",Chogath,Graves,Irelia,Nilah,Neeko,Jayce,LeeSin,Ekko,Kaisa,Leona,VN2
VN2_1578058413,16.18.817.5716,945,0,15736,18756,232,60,2,14,0,0,0,0,-5164,-2219,20900,20975,251,74,14,2,1,0,3,0,5164,2219,2026-09-19 16:21:22,"Nilah, Locke, Elise, Qiyana","LeBlanc, Caitlyn, Jayce, Rell, Sylas",Ambessa,LeeSin,Azir,Yasuo,Alistar,Renekton,Viego,Viktor,Zeri,Morgana,VN2
VN2_1583308500,16.18.817.5716,1876,0,19402,20060,243,61,9,12,1,0,3,0,-592,296,19994,19764,244,59,12,9,0,0,0,0,592,-296,2026-09-19 16:21:26,"Ambessa, Yasuo, Graves","Nidalee, Locke, Sylas",Yone,Viego,Taliyah,Kaisa,Sona,Malphite,Gragas,Zed,Kalista,Thresh,VN2
VN2_1579618593,16.18.817.5716,912,0,18405,19015,224,76,7,12,1,0,0,0,-1635,-1324,20040,20339,229,61,12,7,0,0,3,0,1635,1324,2026-09-19 16:21:29,"Zoe, Shaco, Ezreal, Graves, Locke","Zed, Yuumi, Seraphine, LeBlanc, Ambessa",Gwen,Khazix,Qiyana,Caitlyn,Leona,Shen,Taliyah,Katarina,Kaisa,Janna,VN2
VN2_1576261480,16.18.815.9717,2586,0,18500,20945,290,68,5,6,0,0,0,0,1319,726,17181,20219,245,72,6,5,1,0,3,0,-1319,-726,2026-09-19 16:21:33,"Locke, Graves, Malphite","LeBlanc, Rek'Sai, Pyke, Nautilus, Urgot",Jayce,Viego,Veigar,Tristana,Alistar,Skarner,Nidalee,Zoe,Jhin,Leona,VN2
VN2_1579695557,16.18.817.5716,1683,0,20622,19986,245,68,12,4,0,0,2,0,4207,2140,16415,17846,217,62,4,12,1,0,1,0,-4207,-2140,2026-09-19 16:21:36,"Locke, Naafiri, Lucian, Poppy","LeBlanc, Tryndamere, Camille, Jayce, Locke",Cassiopeia,Talon,Viktor,Yunara,Leona,Zed,MonkeyKing,Syndra,Sivir,Bard,VN2
VN2_1583281784,16.18.817.5716,1667,0,17240,18826,246,66,6,8,0,0,3,0,-642,-584,17882,19410,232,64,8,6,1,0,0,0,642,584,2026-09-19 16:21:40,"Bard, Akali, Nautilus, Pyke, Ambessa","Nilah, Katarina, Locke, Leona, Shaco",Kalista,LeeSin,Ekko,Ashe,Seraphine,Malphite,Graves,Sylas,Kaisa,Milio,VN2
VN2_1583078195,16.18.817.5716,916,0,16398,17594,246,53,3,15,0,0,1,0,-3951,-2365,20349,19959,209,70,15,3,1,0,1,0,3951,2365,2026-09-19 16:21:43,"Heimerdinger, Wukong, Nautilus, LeBlanc","Blitzcrank, Mel, Twitch, Tryndamere",Camille,Naafiri,TwistedFate,Lucian,Nami,Ambessa,JarvanIV,Locke,MissFortune,Seraphine,VN2
VN2_1566968038,16.17.810.4348,1358,1,20500,20516,256,66,10,5,0,0,3,0,3294,1767,17206,18749,250,63,5,10,1,0,0,0,-3294,-1767,2026-09-19 16:21:47,"Poppy, Gwen, Nilah","Xerath, Mordekaiser, Vladimir, Mel",KSante,Nidalee,TwistedFate,Aphelios,Pantheon,Varus,Nocturne,Zoe,Corki,Karma,VN2
VN2_1578664385,16.18.817.5716,1262,0,18616,19441,249,62,9,15,1,0,0,0,-3065,-2090,21681,21531,234,79,15,9,0,0,3,0,3065,2090,2026-09-19 16:21:51,"LeBlanc, Zoe, Pyke, Elise","Ashe, Tryndamere, LeBlanc, Hecarim",Ambessa,LeeSin,Brand,Ezreal,Seraphine,Zed,Talon,Diana,Yunara,Lulu,VN2
VN2_1577693324,16.18.816.5012,1988,1,17828,18707,228,67,7,8,0,0,1,0,61,377,17767,18330,212,58,8,7,0,0,2,0,-61,-377,2026-09-19 16:21:55,"Nautilus, Ezreal, LeBlanc, Graves","Jayce, Yuumi, Graves, Zoe, Pyke",Nasus,Sylas,Talon,Tristana,Taric,KSante,LeeSin,Qiyana,Syndra,Sona,VN2
VN2_1584993183,16.18.817.5716,2111,1,18702,19676,242,56,11,6,0,0,0,0,690,1035,18012,18641,267,56,6,11,1,0,3,0,-690,-1035,2026-09-19 16:21:58,"Ezreal, Lulu, Locke, Teemo","Irelia, LeBlanc, Elise",Aatrox,LeeSin,Cassiopeia,Jinx,Velkoz,Jayce,Qiyana,Ryze,Xayah,Sylas,VN2
VN2_1581620394,16.18.817.5716,1507,1,18245,18813,221,54,10,6,0,0,3,0,-71,-434,18316,19247,232,70,6,10,0,0,0,0,71,434,2026-09-19 16:22:01,"Taliyah, Nasus, Locke, Lee Sin, Pyke","Viktor, Ambessa, LeBlanc, Bel'Veth, Blitzcrank",Rumble,Talon,Sylas,Zeri,Yuumi,Tryndamere,Chogath,Anivia,Kaisa,Leona,VN2
VN2_1575007431,16.17.810.4348,1514,0,20647,20570,258,72,10,9,1,0,0,0,931,714,19716,19856,240,74,9,10,0,0,3,0,-931,-714,2026-09-19 16:22:05,"Lee Sin, Pyke, Graves, Akali, Yasuo","Lissandra, Renekton, Locke, Bel'Veth",Irelia,Qiyana,TwistedFate,Yunara,Lulu,Riven,Rumble,Sylas,Zeri,Bard,VN2
VN2_1574036331,16.17.810.4348,1646,1,20302,18709,225,73,12,11,1,0,1,0,1078,-1131,19224,19840,271,56,11,12,0,0,2,0,-1078,1131,2026-09-19 16:22:09,Akali,"Lucian, Malphite, Viktor",Yasuo,LeeSin,Taliyah,Kaisa,Poppy,Yone,Talon,Lissandra,Kalista,Lulu,VN2
VN2_1579222128,16.18.817.5716,1801,1,20833,22909,264,80,12,2,0,0,3,0,4981,3618,15852,19291,255,66,2,12,1,0,0,0,-4981,-3618,2026-09-19 16:22:12,"Caitlyn, LeBlanc, Ambessa, Lee Sin, Ryze","Lucian, Zoe, Yuumi, Jax",Gragas,Briar,Ahri,Ezreal,Soraka,KSante,Nocturne,Orianna,Kaisa,Pyke,VN2
VN2_1583901600,16.18.817.5716,1830,1,19551,18387,237,70,11,8,1,0,3,0,240,-423,19311,18810,260,52,8,11,0,0,0,0,-240,423,2026-09-19 16:22:15,"Jax, Katarina, Rengar, Sylas, Talon","Quinn, Yuumi, Graves, Leona, Jax",Jayce,MasterYi,Locke,Lucian,Nautilus,Irelia,Khazix,Syndra,Kalista,Camille,VN2
VN2_1583950036,16.18.817.5716,1695,1,17604,19023,220,63,6,9,0,0,0,0,-2155,-1720,19759,20743,269,66,9,6,1,0,3,0,2155,1720,2026-09-19 16:22:19,"Nilah, Kindred, Soraka, Jayce, Syndra","Evelynn, Hecarim, Pyke, Yorick",Mordekaiser,Graves,Lissandra,Yasuo,Nautilus,Rumble,LeeSin,Viktor,Jhin,Rell,VN2
VN2_1578577982,16.18.817.5716,2299,0,19563,19988,243,66,9,9,0,0,1,0,133,-83,19430,20071,263,64,9,9,0,0,2,0,-133,83,2026-09-19 16:22:22,"Nasus, Locke, Thresh, Viktor, Hecarim","Viktor, Jax, Yuumi, Rell",Rumble,Jayce,Leblanc,Caitlyn,Karma,Irelia,Talon,Zoe,Zeri,Seraphine,VN2
VN2_1584544744,16.18.817.5716,927,0,15786,16323,231,33,4,13,0,0,0,0,-5251,-5995,21037,22318,256,93,13,4,0,0,3,0,5251,5995,2026-09-19 16:22:26,"Zoe, Shaco, Katarina, Viktor, Tryndamere","Sylas, Pyke, Zed, Zoe, Jayce",Aatrox,Graves,Annie,Ezreal,Janna,Ambessa,Hecarim,Ryze,Jinx,Lulu,VN2
VN2_1573568600,16.17.810.4348,1627,0,18167,18942,226,54,9,18,0,0,0,0,-3587,-3592,21754,22534,254,74,18,9,0,0,3,0,3587,3592,2026-09-19 16:22:29,"Sylas, Rell, Yuumi","Caitlyn, Zoe, Lucian",Malphite,LeeSin,Akali,Jinx,Blitzcrank,Illaoi,Graves,Orianna,Kaisa,Shen,VN2
VN2_1568710279,16.17.810.4348,1115,0,18708,19068,269,54,7,13,0,0,3,0,-1687,-757,20395,19825,242,59,13,7,1,0,0,0,1687,757,2026-09-19 16:22:33,"Yuumi, Braum, Heimerdinger, Locke",Qiyana,Camille,Viego,Galio,Lucian,Pyke,Skarner,MonkeyKing,TwistedFate,Kaisa,Pantheon,VN2
VN2_1572895626,16.17.810.4348,1851,0,20344,19946,269,60,12,8,1,0,3,0,1790,721,18554,19225,254,53,8,12,0,0,0,0,-1790,-721,2026-09-19 16:22:36,"Graves, Mel","Nasus, Karthus, Nautilus, Locke",Jax,RekSai,Sylas,Jhin,Karma,Gwen,LeeSin,Zed,Ezreal,Seraphine,VN2
